index,bedtime,wakeup_time,smoking,smoking_roommate,tidiness,bed_importance,wakeup_importance,smoking_importance,tidiness_importance
1,4,6,0,0,2,5,4,5,5
2,8,7,0,0,2,4,4,3,4
3,9,12,0,0,4,5,4,9,3
4,10,10,0,0,3,7,5,10,8
5,7,5,0,0,2,8,7,9,8
6,-1,7,0,0,3,8,9,10,7
7,7,6,0,0,2,9,3,10,6
8,8,4,0,0,2,8,4,7,4
9,-1,-1,0,0,4,3,1,10,2
10,10,4,0,0,3,9,1,10,8
11,10,10,0,0,4,1,4,5,1
12,6,5,0,0,3,5,5,9,7
13,8,10,0,0,2,9,1,6,10
14,7,6,0,0,3,9,4,10,5
15,8,6,0,0,2,5,4,6,3
16,6,11,0,0,4,1,5,6,5
17,6,5,0,0,3,10,9,9,4
18,6,6,0,0,3,4,3,4,4
19,8,2,0,0,3,10,10,10,8
20,6,3,0,0,3,2,2,8,6
21,8,7,0,0,4,8,7,10,10
22,10,11,0,0,4,6,8,9,6
23,6,-1,0,0,4,9,3,8,10
24,10,12,0,0,4,7,4,8,7
25,5,8,0,0,2,7,8,7,9
26,8,9,0,0,4,8,8,5,2
27,8,8,0,0,3,8,6,10,2
28,8,6,0,0,4,8,5,10,8
29,7,7,0,0,2,5,5,6,6
30,-1,7,0,0,3,7,5,9,8
31,8,10,0,0,3,7,2,8,7
32,-1,6,0,0,3,3,3,10,8
33,7,7,1,2,4,1,1,1,1
34,9,9,0,0,3,3,4,9,3
35,9,-1,0,0,2,2,2,5,4
36,7,6,0,0,2,9,8,10,9
37,6,7,0,0,4,8,4,10,3
38,4,6,0,0,4,5,3,5,5
39,6,7,0,0,4,5,3,6,3
40,8,11,0,2,3,8,2,4,7
41,9,8,0,0,4,9,7,9,10
42,4,4,0,0,4,6,7,3,5
43,7,8,0,0,3,10,10,2,2
44,6,7,0,0,3,9,3,8,5
45,-1,10,0,0,3,10,4,10,10
46,3,3,0,2,3,8,10,3,4
47,4,8,0,0,2,4,4,5,4
48,7,8,0,0,2,3,5,10,9
49,8,7,0,0,3,2,2,6,2
50,9,7,0,0,4,10,3,8,6
51,7,9,0,0,2,3,2,5,4
52,7,9,0,0,3,2,3,8,4
53,8,10,0,0,3,4,4,6,5
54,8,6,0,0,2,7,2,10,7
55,6,6,0,0,3,6,6,6,4
56,4,3,0,0,3,5,3,6,5
57,6,5,0,2,4,6,2,5,8
58,7,8,0,0,3,7,2,10,6
59,9,6,0,0,2,3,6,8,7
60,8,6,0,0,3,6,10,10,6
61,-1,8,0,0,4,1,1,4,1
62,-1,-1,0,0,4,3,3,9,3
63,9,9,0,2,3,4,6,2,4
64,6,3,0,0,2,10,7,10,8
65,5,6,0,0,1,9,9,10,8
66,5,5,0,0,1,7,6,10,8
67,4,4,0,2,4,4,3,1,1
68,3,5,0,0,3,4,1,3,2
69,7,6,0,0,3,5,5,6,2
70,9,6,0,0,2,6,3,6,5
71,9,9,0,0,3,8,4,10,8
72,6,7,0,0,2,4,3,3,4
73,6,6,0,0,4,7,4,9,5
74,6,8,0,0,4,6,2,6,3
75,8,6,0,0,4,7,3,10,5
76,1,4,0,0,2,9,6,7,5
77,8,6,0,0,2,6,8,8,6
78,6,7,0,0,3,6,9,8,4
79,9,7,0,0,3,3,3,10,5
80,7,7,0,0,1,6,4,8,10
81,-1,-1,0,0,2,4,2,3,5
82,8,8,0,0,2,6,3,8,7
83,6,9,0,0,2,7,7,5,10
84,4,6,0,0,2,6,8,10,3
85,4,8,0,2,3,10,4,5,3
86,5,4,0,0,2,7,8,8,3
87,4,7,1,0,3,2,3,5,5
88,10,4,0,0,1,7,5,8,10
89,8,5,0,0,3,7,4,9,4
90,3,5,0,0,2,8,6,9,9
91,5,6,0,0,3,4,6,8,5
92,8,6,0,2,3,6,9,5,6
93,8,10,0,0,3,8,10,6,3
94,6,6,0,0,2,9,5,7,2
95,11,8,0,0,2,6,8,6,9
96,8,6,0,0,3,7,5,7,8
97,8,7,0,2,2,8,4,9,8
98,9,8,0,0,3,5,4,10,7
99,6,7,0,0,4,10,5,10,10
100,8,8,0,0,3,5,3,3,5
101,7,8,0,0,3,7,8,10,8
102,6,5,0,2,4,1,1,1,1
103,6,3,0,2,4,3,5,4,4
104,6,7,0,0,3,5,5,6,4
105,6,9,0,0,3,6,5,9,6
106,8,7,0,0,4,9,6,10,7
107,7,6,0,0,2,9,9,10,9
108,7,8,0,0,3,8,6,9,6
109,4,5,0,0,2,5,8,10,1
110,3,4,0,0,1,3,3,10,8
111,7,7,0,0,3,8,8,10,3
112,8,5,0,2,4,4,8,3,1
113,4,5,0,0,4,10,10,10,1
114,6,6,1,2,4,8,10,3,3
115,5,6,0,0,2,8,6,10,7
116,11,6,0,0,3,8,6,9,6
117,4,6,0,0,2,7,7,10,6
118,9,8,0,0,2,7,8,10,8
119,5,4,0,0,1,9,6,9,5
120,8,7,0,0,4,6,9,8,4
121,8,8,0,0,3,6,6,6,6
122,5,5,0,0,3,9,4,10,8
123,9,4,0,0,4,6,4,2,2
124,9,7,0,0,3,7,2,10,7
125,11,13,1,0,4,2,4,3,5
126,8,8,0,0,3,7,5,10,8
127,5,4,0,0,1,9,6,10,9
128,9,10,0,0,4,5,2,7,10
129,8,5,0,2,4,4,8,3,1
130,9,10,0,0,2,5,5,10,7
131,9,7,0,0,3,2,6,7,6
132,8,7,1,0,3,7,7,7,7
